airport_code,airport_name,city,coordinates,timezone
YKS,"{""en"": ""Yakutsk Airport"", ""ru"": ""/:CBA:""}","{""en"": ""Yakutsk"", ""ru"": ""/:CBA:""}","(129.77099609375,62.0932998657226562)",Asia/Yakutsk
MJZ,"{""en"": ""Mirny Airport"", ""ru"": ""8@=K9""}","{""en"": ""Mirnyj"", ""ru"": ""8@=K9""}","(114.03900146484375,62.534698486328125)",Asia/Yakutsk
KHV,"{""en"": ""Khabarovsk-Novy Airport"", ""ru"": ""%010@>2A:->2K9""}","{""en"": ""Khabarovsk"", ""ru"": ""%010@>2A:""}","(135.18800354004,48.5279998779300001)",Asia/Vladivostok
PKC,"{""en"": ""Yelizovo Airport"", ""ru"": "";87>2>""}","{""en"": ""Petropavlovsk"", ""ru"": ""5B@>?02;>2A:-0<G0BA:89""}","(158.453994750976562,53.1679000854492188)",Asia/Kamchatka
UUS,"{""en"": ""Yuzhno-Sakhalinsk Airport"", ""ru"": ""%><CB>2>""}","{""en"": ""Yuzhno-Sakhalinsk"", ""ru"": "".6=>-!0E0;8=A:""}","(142.718002319335938,46.8886985778808594)",Asia/Sakhalin
VVO,"{""en"": ""Vladivostok International Airport"", ""ru"": "";0482>AB>:""}","{""en"": ""Vladivostok"", ""ru"": "";0482>AB>:""}","(132.147994995117188,43.3989982604980469)",Asia/Vladivostok
LED,"{""en"": ""Pulkovo Airport"", ""ru"": ""C;:>2>""}","{""en"": ""St. Petersburg"", ""ru"": ""!0=:B-5B5@1C@3""}","(30.2625007629394531,59.8003005981445312)",Europe/Moscow
KGD,"{""en"": ""Khrabrovo Airport"", ""ru"": ""%@01@>2>""}","{""en"": ""Kaliningrad"", ""ru"": ""0;8=8=3@04""}","(20.5925998687744141,54.8899993896484375)",Europe/Kaliningrad
KEJ,"{""en"": ""Kemerovo Airport"", ""ru"": ""5<5@>2>""}","{""en"": ""Kemorovo"", ""ru"": ""5<5@>2>""}","(86.1072006225585938,55.2700996398925781)",Asia/Novokuznetsk
CEK,"{""en"": ""Chelyabinsk Balandino Airport"", ""ru"": ""'5;O18=A:""}","{""en"": ""Chelyabinsk"", ""ru"": ""'5;O18=A:""}","(61.503300000000003,55.3058010000000024)",Asia/Yekaterinburg
MQF,"{""en"": ""Magnitogorsk International Airport"", ""ru"": ""03=8B>3>@A:""}","{""en"": ""Magnetiogorsk"", ""ru"": ""03=8B>3>@A:""}","(58.7556991577148438,53.3931007385253906)",Asia/Yekaterinburg
PEE,"{""en"": ""Bolshoye Savino Airport"", ""ru"": ""5@<L""}","{""en"": ""Perm"", ""ru"": ""5@<L""}","(56.021198272705,57.9145011901860016)",Asia/Yekaterinburg
SGC,"{""en"": ""Surgut Airport"", ""ru"": ""!C@3CB""}","{""en"": ""Surgut"", ""ru"": ""!C@3CB""}","(73.4018020629882812,61.3437004089355469)",Asia/Yekaterinburg
BZK,"{""en"": ""Bryansk Airport"", ""ru"": ""@O=A:""}","{""en"": ""Bryansk"", ""ru"": ""@O=A:""}","(34.1763992309999978,53.2141990661999955)",Europe/Moscow
MRV,"{""en"": ""Mineralnyye Vody Airport"", ""ru"": ""8=5@0;L=K5 >4K""}","{""en"": ""Mineralnye Vody"", ""ru"": ""8=5@0;L=K5 >4K""}","(43.0819015502929688,44.2251014709472656)",Europe/Moscow
STW,"{""en"": ""Stavropol Shpakovskoye Airport"", ""ru"": ""!B02@>?>;L""}","{""en"": ""Stavropol"", ""ru"": ""!B02@>?>;L""}","(42.1128005981445312,45.1091995239257812)",Europe/Moscow
ASF,"{""en"": ""Astrakhan Airport"", ""ru"": ""AB@0E0=L""}","{""en"": ""Astrakhan"", ""ru"": ""AB@0E0=L""}","(48.0063018799000005,46.2832984924000002)",Europe/Samara
NJC,"{""en"": ""Nizhnevartovsk Airport"", ""ru"": ""86=520@B>2A:""}","{""en"": ""Nizhnevartovsk"", ""ru"": ""86=520@B>2A:""}","(76.4835968017578125,60.9492988586425781)",Asia/Yekaterinburg
SVX,"{""en"": ""Koltsovo Airport"", ""ru"": "">;LF>2>""}","{""en"": ""Yekaterinburg"", ""ru"": "":0B5@8=1C@3""}","(60.8027000427250002,56.7430992126460012)",Asia/Yekaterinburg
SVO,"{""en"": ""Sheremetyevo International Airport"", ""ru"": ""(5@5<5BL52>""}","{""en"": ""Moscow"", ""ru"": "">A:20""}","(37.4146000000000001,55.9725990000000024)",Europe/Moscow
VOZ,"{""en"": ""Voronezh International Airport"", ""ru"": "">@>=56""}","{""en"": ""Voronezh"", ""ru"": "">@>=56""}","(39.2295989990234375,51.8142013549804688)",Europe/Moscow
VKO,"{""en"": ""Vnukovo International Airport"", ""ru"": ""=C:>2>""}","{""en"": ""Moscow"", ""ru"": "">A:20""}","(37.2615013122999983,55.5914993286000012)",Europe/Moscow
SCW,"{""en"": ""Syktyvkar Airport"", ""ru"": ""!K:BK2:0@""}","{""en"": ""Syktyvkar"", ""ru"": ""!K:BK2:0@""}","(50.8451004028320312,61.6469993591308594)",Europe/Moscow
KUF,"{""en"": ""Kurumoch International Airport"", ""ru"": ""C@C<>G""}","{""en"": ""Samara"", ""ru"": ""!0<0@0""}","(50.1642990112299998,53.5049018859860013)",Europe/Samara
DME,"{""en"": ""Domodedovo International Airport"", ""ru"": ""><>454>2>""}","{""en"": ""Moscow"", ""ru"": "">A:20""}","(37.9062995910644531,55.4087982177734375)",Europe/Moscow
TJM,"{""en"": ""Roshchino International Airport"", ""ru"": "" >I8=>""}","{""en"": ""Tyumen"", ""ru"": """N<5=L""}","(65.3243026732999965,57.1896018981999958)",Asia/Yekaterinburg
GOJ,"{""en"": ""Nizhny Novgorod Strigino International Airport"", ""ru"": ""!B@838=>""}","{""en"": ""Nizhniy Novgorod"", ""ru"": ""86=89 >23>@>4""}","(43.7840003967289988,56.2300987243649999)",Europe/Moscow
TOF,"{""en"": ""Bogashevo Airport"", ""ru"": "">30HQ2>""}","{""en"": ""Tomsk"", ""ru"": """><A:""}","(85.2082977294920028,56.3802986145020029)",Asia/Krasnoyarsk
UIK,"{""en"": ""Ust-Ilimsk Airport"", ""ru"": ""#ABL-;8<A:""}","{""en"": ""Ust Ilimsk"", ""ru"": ""#ABL-;8<A:""}","(102.56500244140625,58.1361007690429688)",Asia/Irkutsk
NSK,"{""en"": ""Norilsk-Alykel Airport"", ""ru"": "">@8;LA:""}","{""en"": ""Norilsk"", ""ru"": "">@8;LA:""}","(87.3321990966796875,69.31109619140625)",Asia/Krasnoyarsk
ARH,"{""en"": ""Talagi Airport"", ""ru"": """0;038""}","{""en"": ""Arkhangelsk"", ""ru"": ""@E0=35;LA:""}","(40.7167015075683594,64.6003036499023438)",Europe/Moscow
RTW,"{""en"": ""Saratov Central Airport"", ""ru"": ""!0@0B>2-&5=B@0;L=K9""}","{""en"": ""Saratov"", ""ru"": ""!0@0B>2""}","(46.0466995239257812,51.5649986267089844)",Europe/Volgograd
NUX,"{""en"": ""Novy Urengoy Airport"", ""ru"": "">2K9 #@5=3>9""}","{""en"": ""Novy Urengoy"", ""ru"": "">2K9 #@5=3>9""}","(76.5203018188476562,66.06939697265625)",Asia/Yekaterinburg
NOJ,"{""en"": ""Noyabrsk Airport"", ""ru"": "">O1@LA:""}","{""en"": ""Noyabrsk"", ""ru"": "">O1@LA:""}","(75.2699966430664062,63.1833000183105469)",Asia/Yekaterinburg
UCT,"{""en"": ""Ukhta Airport"", ""ru"": ""#EB0""}","{""en"": ""Ukhta"", ""ru"": ""#EB0""}","(53.8046989440917969,63.5668983459472656)",Europe/Moscow
USK,"{""en"": ""Usinsk Airport"", ""ru"": ""#A8=A:""}","{""en"": ""Usinsk"", ""ru"": ""#A8=A:""}","(57.3671989440917969,66.00469970703125)",Europe/Moscow
NNM,"{""en"": ""Naryan Mar Airport"", ""ru"": ""0@LO=-0@""}","{""en"": ""Naryan-Mar"", ""ru"": ""0@LO=-0@""}","(53.1218986511230469,67.6399993896484375)",Europe/Moscow
PKV,"{""en"": ""Pskov Airport"", ""ru"": ""A:>2""}","{""en"": ""Pskov"", ""ru"": ""A:>2""}","(28.395599365234375,57.7839012145996094)",Europe/Moscow
KGP,"{""en"": ""Kogalym International Airport"", ""ru"": "">30;K<""}","{""en"": ""Kogalym"", ""ru"": "">30;K<""}","(74.5337982177734375,62.190399169921875)",Asia/Yekaterinburg
KJA,"{""en"": ""Yemelyanovo Airport"", ""ru"": ""<5;LO=>2>""}","{""en"": ""Krasnoyarsk"", ""ru"": ""@0A=>O@A:""}","(92.493301391602003,56.1729011535639984)",Asia/Krasnoyarsk
URJ,"{""en"": ""Uray Airport"", ""ru"": ""5B@>702>4A:""}","{""en"": ""Uraj"", ""ru"": ""#@09""}","(64.8266983032226562,60.1032981872558594)",Asia/Yekaterinburg
IWA,"{""en"": ""Ivanovo South Airport"", ""ru"": ""20=>2>-.6=K9""}","{""en"": ""Ivanovo"", ""ru"": ""20=>2>""}","(40.9407997131347656,56.9393997192382812)",Europe/Moscow
PYJ,"{""en"": ""Polyarny Airport"", ""ru"": "">;O@=K9""}","{""en"": ""Yakutia"", ""ru"": ""#40G=K9""}","(112.029998778999996,66.4003982544000024)",Asia/Yakutsk
KXK,"{""en"": ""Komsomolsk-on-Amur Airport"", ""ru"": ""%C@10""}","{""en"": ""Komsomolsk-on-Amur"", ""ru"": ""><A><>;LA:-=0-<C@5""}","(136.934005737304688,50.4090003967285156)",Asia/Vladivostok
DYR,"{""en"": ""Ugolny Airport"", ""ru"": ""=04K@L""}","{""en"": ""Anadyr"", ""ru"": ""=04K@L""}","(177.740997314453125,64.7349014282226562)",Asia/Anadyr
PES,"{""en"": ""Petrozavodsk Airport"", ""ru"": ""5A>25F""}","{""en"": ""Petrozavodsk"", ""ru"": ""5B@>702>4A:""}","(34.1547012329101562,61.8852005004882812)",Europe/Moscow
KYZ,"{""en"": ""Kyzyl Airport"", ""ru"": ""K7K;""}","{""en"": ""Kyzyl"", ""ru"": ""K7K;""}","(94.4005966186523438,51.6693992614746094)",Asia/Krasnoyarsk
NOZ,"{""en"": ""Spichenkovo Airport"", ""ru"": ""!?8G5=:>2>""}","{""en"": ""Novokuznetsk"", ""ru"": "">2>:C7=5F:""}","(86.877197265625,53.8114013671875)",Asia/Novokuznetsk
GRV,"{""en"": ""Khankala Air Base"", ""ru"": ""@>7=K9""}","{""en"": ""Grozny"", ""ru"": ""@>7=K9""}","(45.7840995788574219,43.2980995178222656)",Europe/Moscow
NAL,"{""en"": ""Nalchik Airport"", ""ru"": ""0;LG8:""}","{""en"": ""Nalchik"", ""ru"": ""0;LG8:""}","(43.6366004943847656,43.5129013061523438)",Europe/Moscow
OGZ,"{""en"": ""Beslan Airport"", ""ru"": ""5A;0=""}","{""en"": ""Beslan"", ""ru"": "";048:02:07""}","(44.6066017150999983,43.2051010132000002)",Europe/Moscow
ESL,"{""en"": ""Elista Airport"", ""ru"": ""-;8AB0""}","{""en"": ""Elista"", ""ru"": ""-;8AB0""}","(44.3308982849121094,46.3739013671875)",Europe/Moscow
SLY,"{""en"": ""Salekhard Airport"", ""ru"": ""!0;5E0@4""}","{""en"": ""Salekhard"", ""ru"": ""!0;5E0@4""}","(66.6110000610351562,66.5907974243164062)",Asia/Yekaterinburg
HMA,"{""en"": ""Khanty Mansiysk Airport"", ""ru"": ""%0=BK-0=A89A:""}","{""en"": ""Khanty-Mansiysk"", ""ru"": ""%0=BK-0=A89A:""}","(69.0860977172851562,61.0284996032714844)",Asia/Yekaterinburg
NYA,"{""en"": ""Nyagan Airport"", ""ru"": ""O30=L""}","{""en"": ""Nyagan"", ""ru"": ""O30=L""}","(65.6149978637695312,62.1100006103515625)",Asia/Yekaterinburg
OVS,"{""en"": ""Sovetskiy Airport"", ""ru"": ""!>25BA:89""}","{""en"": ""Sovetskiy"", ""ru"": ""!>25BA:89""}","(63.6019134521484375,61.3266220092773438)",Asia/Yekaterinburg
IJK,"{""en"": ""Izhevsk Airport"", ""ru"": ""652A:""}","{""en"": ""Izhevsk"", ""ru"": ""652A:""}","(53.4575004577636719,56.8280982971191406)",Europe/Samara
KVX,"{""en"": ""Pobedilovo Airport"", ""ru"": "">1548;>2>""}","{""en"": ""Kirov"", ""ru"": ""8@>2""}","(49.3483009338379972,58.5032997131350001)",Europe/Moscow
NYM,"{""en"": ""Nadym Airport"", ""ru"": ""04K<""}","{""en"": ""Nadym"", ""ru"": ""04K<""}","(72.6988983154296875,65.4809036254882812)",Asia/Yekaterinburg
NFG,"{""en"": ""Nefteyugansk Airport"", ""ru"": ""5DB5N30=A:""}","{""en"": ""Nefteyugansk"", ""ru"": ""5DB5N30=A:""}","(72.6500015258789062,61.1082992553710938)",Asia/Yekaterinburg
KRO,"{""en"": ""Kurgan Airport"", ""ru"": ""C@30=""}","{""en"": ""Kurgan"", ""ru"": ""C@30=""}","(65.4156036376953125,55.4752998352050781)",Asia/Yekaterinburg
EGO,"{""en"": ""Belgorod International Airport"", ""ru"": ""5;3>@>4""}","{""en"": ""Belgorod"", ""ru"": ""5;3>@>4""}","(36.5900993347167969,50.643798828125)",Europe/Moscow
URS,"{""en"": ""Kursk East Airport"", ""ru"": ""C@A:->AB>G=K9""}","{""en"": ""Kursk"", ""ru"": ""C@A:""}","(36.2956008911132812,51.7505989074707031)",Europe/Moscow
LPK,"{""en"": ""Lipetsk Airport"", ""ru"": ""8?5F:""}","{""en"": ""Lipetsk"", ""ru"": ""8?5F:""}","(39.5377998352050781,52.7028007507324219)",Europe/Moscow
VKT,"{""en"": ""Vorkuta Airport"", ""ru"": "">@:CB0""}","{""en"": ""Vorkuta"", ""ru"": "">@:CB0""}","(63.9930992126464844,67.4886016845703125)",Europe/Moscow
UUA,"{""en"": ""Bugulma Airport"", ""ru"": ""C3C;L<0""}","{""en"": ""Bugulma"", ""ru"": ""C3C;L<0""}","(52.8017005920410156,54.6399993896484375)",Europe/Moscow
JOK,"{""en"": ""Yoshkar-Ola Airport"", ""ru"": "">H:0@-;0""}","{""en"": ""Yoshkar-Ola"", ""ru"": "">H:0@-;0""}","(47.9047012329101562,56.7005996704101562)",Europe/Moscow
CSY,"{""en"": ""Cheboksary Airport"", ""ru"": ""'51>:A0@K""}","{""en"": ""Cheboksary"", ""ru"": ""'51>:A0@K""}","(47.3473014831542969,56.090301513671875)",Europe/Moscow
ULY,"{""en"": ""Ulyanovsk East Airport"", ""ru"": ""#;LO=>2A:->AB>G=K9""}","{""en"": ""Ulyanovsk"", ""ru"": ""#;LO=>2A:""}","(48.8027000427246094,54.4010009765625)",Europe/Samara
OSW,"{""en"": ""Orsk Airport"", ""ru"": ""@A:""}","{""en"": ""Orsk"", ""ru"": ""@A:""}","(58.5956001281738281,51.0724983215332031)",Asia/Yekaterinburg
PEZ,"{""en"": ""Penza Airport"", ""ru"": ""5=70""}","{""en"": ""Penza"", ""ru"": ""5=70""}","(45.0210990905761719,53.1105995178222656)",Europe/Moscow
SKX,"{""en"": ""Saransk Airport"", ""ru"": ""!0@0=A:""}","{""en"": ""Saransk"", ""ru"": ""!0@0=A:""}","(45.2122573852539062,54.1251296997070312)",Europe/Moscow
TBW,"{""en"": ""Donskoye Airport"", ""ru"": "">=A:>5""}","{""en"": ""Tambow"", ""ru"": """0<1>2""}","(41.4827995300289984,52.806098937987997)",Europe/Moscow
UKX,"{""en"": ""Ust-Kut Airport"", ""ru"": ""#ABL-CB""}","{""en"": ""Ust-Kut"", ""ru"": ""#ABL-CB""}","(105.730003356933594,56.8567008972167969)",Asia/Irkutsk
GDZ,"{""en"": ""Gelendzhik Airport"", ""ru"": ""5;5=468:""}","{""en"": ""Gelendzhik"", ""ru"": ""5;5=468:""}","(38.012480735799997,44.5820926295000035)",Europe/Moscow
IAR,"{""en"": ""Tunoshna Airport"", ""ru"": """C=>H=0""}","{""en"": ""Yaroslavl"", ""ru"": ""/@>A;02;L""}","(40.1573982238769531,57.560699462890625)",Europe/Moscow
NBC,"{""en"": ""Begishevo Airport"", ""ru"": ""538H52>""}","{""en"": ""Nizhnekamsk"", ""ru"": ""86=5:0<A:""}","(52.092498779296875,55.5647010803222656)",Europe/Moscow
ULV,"{""en"": ""Ulyanovsk Baratayevka Airport"", ""ru"": ""0@0B052:0""}","{""en"": ""Ulyanovsk"", ""ru"": ""#;LO=>2A:""}","(48.2266998291000064,54.2682991027999932)",Europe/Samara
SWT,"{""en"": ""Strezhevoy Airport"", ""ru"": ""!B@5652>9""}","{""en"": ""Strezhevoy"", ""ru"": ""!B@5652>9""}","(77.66000366210001,60.7094001769999991)",Asia/Krasnoyarsk
EYK,"{""en"": ""Beloyarskiy Airport"", ""ru"": ""5;>O@A:89""}","{""en"": ""Beloyarsky"", ""ru"": ""5;>O@A:89""}","(66.6986007689999951,63.6869010924999941)",Asia/Yekaterinburg
KLF,"{""en"": ""Grabtsevo Airport"", ""ru"": ""0;C30""}","{""en"": ""Kaluga"", ""ru"": ""0;C30""}","(36.3666687011999983,54.5499992371000033)",Europe/Moscow
RGK,"{""en"": ""Gorno-Altaysk Airport"", ""ru"": "">@=>-;B09A:""}","{""en"": ""Gorno-Altaysk"", ""ru"": "">@=>-;B09A:""}","(85.8332977295000035,51.9667015075999998)",Asia/Krasnoyarsk
KRR,"{""en"": ""Krasnodar Pashkovsky International Airport"", ""ru"": ""@0A=>40@""}","{""en"": ""Krasnodar"", ""ru"": ""@0A=>40@""}","(39.1705017089839984,45.0346984863279971)",Europe/Moscow
MCX,"{""en"": ""Uytash Airport"", ""ru"": ""#9B0H""}","{""en"": ""Makhachkala"", ""ru"": ""0E0G:0;0""}","(47.6523017883300781,42.8167991638183594)",Europe/Moscow
KZN,"{""en"": ""Kazan International Airport"", ""ru"": ""070=L""}","{""en"": ""Kazan"", ""ru"": ""070=L""}","(49.278701782227003,55.606201171875)",Europe/Moscow
REN,"{""en"": ""Orenburg Central Airport"", ""ru"": ""@5=1C@3-&5=B@0;L=K9""}","{""en"": ""Orenburg"", ""ru"": ""@5=1C@3""}","(55.4566993713378906,51.7957992553710938)",Asia/Yekaterinburg
UFA,"{""en"": ""Ufa International Airport"", ""ru"": ""#D0""}","{""en"": ""Ufa"", ""ru"": ""#D0""}","(55.8744010925289984,54.5574989318850001)",Asia/Yekaterinburg
OVB,"{""en"": ""Tolmachevo Airport"", ""ru"": """>;<0GQ2>""}","{""en"": ""Novosibirsk"", ""ru"": "">2>A818@A:""}","(82.6507034301759944,55.012599945067997)",Asia/Novosibirsk
CEE,"{""en"": ""Cherepovets Airport"", ""ru"": ""'5@5?>25F""}","{""en"": ""Cherepovets"", ""ru"": ""'5@5?>25F""}","(38.0158004761000043,59.2736015320000007)",Europe/Moscow
OMS,"{""en"": ""Omsk Central Airport"", ""ru"": ""<A:-&5=B@0;L=K9""}","{""en"": ""Omsk"", ""ru"": ""<A:""}","(73.3105010986328125,54.9669990539550781)",Asia/Omsk
ROV,"{""en"": ""Rostov-on-Don Airport"", ""ru"": "" >AB>2-=0->=C""}","{""en"": ""Rostov"", ""ru"": "" >AB>2-=0->=C""}","(39.8180999755999991,47.2582015990999977)",Europe/Moscow
AER,"{""en"": ""Sochi International Airport"", ""ru"": ""!>G8""}","{""en"": ""Sochi"", ""ru"": ""!>G8""}","(39.9566001892089986,43.4499015808110016)",Europe/Moscow
VOG,"{""en"": ""Volgograd International Airport"", ""ru"": ""C<@0:""}","{""en"": ""Volgograd"", ""ru"": "">;3>3@04""}","(44.3455009460449219,48.782501220703125)",Europe/Volgograd
BQS,"{""en"": ""Ignatyevo Airport"", ""ru"": ""3=0BL52>""}","{""en"": ""Blagoveschensk"", ""ru"": "";03>25I5=A:""}","(127.412002563476562,50.4253997802734375)",Asia/Yakutsk
GDX,"{""en"": ""Sokol Airport"", ""ru"": ""03040=""}","{""en"": ""Magadan"", ""ru"": ""03040=""}","(150.720001220703125,59.9109992980957031)",Asia/Magadan
HTA,"{""en"": ""Chita-Kadala Airport"", ""ru"": ""'8B0""}","{""en"": ""Chita"", ""ru"": ""'8B0""}","(113.305999999999997,52.0262990000000016)",Asia/Chita
BTK,"{""en"": ""Bratsk Airport"", ""ru"": ""@0BA:""}","{""en"": ""Bratsk"", ""ru"": ""@0BA:""}","(101.697998046875,56.3706016540527344)",Asia/Irkutsk
IKT,"{""en"": ""Irkutsk Airport"", ""ru"": ""@:CBA:""}","{""en"": ""Irkutsk"", ""ru"": ""@:CBA:""}","(104.388999938959998,52.2680015563960012)",Asia/Irkutsk
UUD,"{""en"": ""Ulan-Ude Airport (Mukhino)"", ""ru"": ""09:0;""}","{""en"": ""Ulan-ude"", ""ru"": ""#;0=-#4M""}","(107.438003540039062,51.80780029296875)",Asia/Irkutsk
MMK,"{""en"": ""Murmansk Airport"", ""ru"": ""C@<0=A:""}","{""en"": ""Murmansk"", ""ru"": ""C@<0=A:""}","(32.7508010864257812,68.7817001342773438)",Europe/Moscow
ABA,"{""en"": ""Abakan Airport"", ""ru"": ""10:0=""}","{""en"": ""Abakan"", ""ru"": ""10:0=""}","(91.3850021362304688,53.7400016784667969)",Asia/Krasnoyarsk
BAX,"{""en"": ""Barnaul Airport"", ""ru"": ""0@=0C;""}","{""en"": ""Barnaul"", ""ru"": ""0@=0C;""}","(83.5384979248046875,53.363800048828125)",Asia/Krasnoyarsk
AAQ,"{""en"": ""Anapa Vityazevo Airport"", ""ru"": ""8BO752>""}","{""en"": ""Anapa"", ""ru"": ""=0?0""}","(37.3473014831539984,45.002101898192997)",Europe/Moscow
CNN,"{""en"": ""Chulman Airport"", ""ru"": ""'C;L<0=""}","{""en"": ""Neryungri"", ""ru"": ""5@N=3@8""}","(124.914001464839998,56.9138984680179973)",Asia/Yakutsk
